,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
71,0.0001,0.01,1.0,8,1000,2000.0,0.7082,0.5653349138978647,0.020847216,0.08463066071271896,0.09442964230848083,0.17919162,0.062302668,0.011857638,0.22316629,0.97622246,0.020899944,0.99405456,0.93628085,0.015433979,0.010403775,0.034957457,0.005603118
72,0.0001,0.001,0.01,1,1000,20.0,0.5502,0.7047642615909668,0.108856484,0.1749958097934723,0.1741224859218819,0.21533638,0.023163632,0.11211285,0.2427428,0.4324804,0.3372855,0.81743616,0.020348534,0.03182235,0.005569574,0.041168332,0.0199386
73,0.0001,0.001,0.01,3,1000,200.0,0.736,0.5641225535254524,0.030221863,0.07575640827417374,0.07423846976270507,0.13098614,0.033437088,0.04444627,0.19112922,0.9082814,0.08285071,0.99858236,0.7794244,0.008642074,0.0040325844,0.013689712,0.0014156201
74,0.0001,0.001,0.01,8,1000,2000.0,0.4944,0.6952601885458541,0.101353034,0.04241982102394104,0.24602056719174215,0.007629617,0.006448183,0.002343772,0.07266278,0.4666657,0.00024877154,0.46697816,0.4662979,0.00072169444,9.117377e-05,0.00089919084,0.0005365496
75,0.0001,0.001,0.1,1,1000,20.0,0.4548,0.8252299808328003,0.18519458,0.2531159520149231,0.20234581982453892,0.20731103,0.029143445,0.08327522,0.24190143,0.107818134,0.16247892,0.42791942,0.0053496007,0.021158684,0.015330958,0.052704338,0.0053210584
76,0.0001,0.001,0.1,3,1000,200.0,0.7372,0.5555337087702916,0.020988617,0.060195259749889374,0.045869242946408484,0.12346537,0.025439346,0.032348886,0.17180546,0.9572604,0.06793607,0.99852675,0.8219512,0.0057698335,0.0048198737,0.016092638,0.0014710737
77,0.0001,0.001,0.1,8,1000,2000.0,0.714,0.5596397093616764,0.018272702,0.03494127839803696,0.051365827942244514,0.09197665,0.027943132,0.025840793,0.14193664,0.72299284,0.0601205,0.78048104,0.63748646,0.014335418,0.0015683341,0.01782216,0.01155738
78,0.0001,0.001,1.0,1,1000,20.0,0.5114,0.6759266597809965,0.09377644,0.07950925081968307,0.16616872432341406,0.22667383,0.028593361,0.08466559,0.26312014,0.7932978,0.23725146,0.99441916,0.50160587,0.123049915,0.13473517,0.2883641,0.0055497857
79,0.0001,0.001,1.0,3,1000,200.0,0.609,0.6688396169856433,0.08852375,0.15898863971233368,0.20364677434077091,0.20916086,0.018566122,0.12649938,0.23564175,0.71205926,0.07605739,0.80601746,0.6159553,0.04291276,0.008631954,0.059812117,0.03152722
80,0.0001,0.001,1.0,8,1000,2000.0,0.7286,0.5506124049331015,0.014928364,0.06755241751670837,0.07226329516747573,0.17149721,0.06669616,0.010181028,0.22336487,0.9831333,0.01615581,0.9950561,0.9477248,0.01155483,0.0073865154,0.028650757,0.004828755
