,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,ROCAUC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
17,0.1,0.01,0.2,8,1000,2000.0,0.5056,,0.6930939131993006,0.10036258,0.002180814743041992,0.23860145179142783,9.768624e-13,5.400818e-13,3.9233113e-13,8.969071e-12,0.5034257,4.6348166e-08,0.5034259,0.50342566,1.03917465e-13,6.7465666e-15,1.1872865e-13,9.036284e-14
18,0.1,0.001,0.05,1,1000,20.0,,,,,,,,,,,,,,,,,,
19,0.1,0.001,0.05,3,1000,200.0,,,,,,,,,,,,,,,,,,
20,0.1,0.001,0.05,8,1000,2000.0,0.5056,,0.6930873627456349,0.100361735,0.0012053847312927246,0.2384160627495272,4.965154e-13,2.6881736e-13,2.0238424e-13,4.826083e-12,0.50439525,4.9229634e-08,0.50439537,0.5043951,5.2980623e-14,4.1395665e-15,6.244049e-14,4.4830266e-14
21,0.1,0.001,0.1,1,1000,20.0,0.5664,,0.6789450670614693,0.09364998,0.030878663063049316,0.19481276846637557,0.038984098,0.018165521,0.014017727,0.14016442,0.5288114,0.041161478,0.58673406,0.4667526,0.004211246,0.00066547666,0.0055711567,0.0030718034
22,0.1,0.001,0.1,3,1000,200.0,0.5078,,0.7115537398152811,0.108842984,0.11123386025428772,0.21325746799816914,0.0015519876,0.0030898289,0.00023075417,0.0678426,0.61608005,0.014130831,0.6305516,0.5973096,9.848016e-05,2.9130617e-05,0.0001479305,5.011582e-05
23,0.1,0.001,0.1,8,1000,2000.0,0.5056,,0.6931066766037346,0.10036604,0.003326892852783203,0.23882531825413533,6.360908e-13,3.46861e-13,2.642208e-13,6.1225326e-12,0.502267,4.866699e-08,0.5022671,0.50226694,6.78383e-14,4.4205146e-15,7.911948e-14,5.9401675e-14
24,0.1,0.001,0.2,1,1000,20.0,0.4782,,0.7051070399417779,0.10610035,0.10348471999168396,0.17639112553706,0.06478075,0.034782983,0.018523682,0.2049535,0.5408648,0.08188859,0.6398886,0.43949568,0.009262371,0.006517187,0.023953896,0.004171313
25,0.1,0.001,0.2,3,1000,200.0,,,,,,,,,,,,,,,,,,
26,0.1,0.001,0.2,8,1000,2000.0,0.4944,,0.6939415413748844,0.10074652,0.02071613073348999,0.24242280588855575,4.591202e-13,2.5272194e-13,1.916929e-13,4.4573355e-12,0.48490247,4.1238582e-08,0.4849026,0.48490238,4.8874018e-14,2.7505049e-15,5.460791e-14,4.3572883e-14
27,0.01,0.1,0.05,1,1000,20.0,0.4824,,0.7197054150221663,0.10951272,0.10568244010210037,0.13076035087218113,0.21591797,0.08359487,0.05206203,0.28867513,0.6344705,0.16654299,0.86791635,0.5,0.17879057,0.13510463,0.28867513,0.011561545
28,0.01,0.1,0.05,3,1000,200.0,0.549,,0.7627483038918835,0.15189873,0.17258739471435547,0.2250257607590182,0.0016516659,0.0007195105,0.00052674604,0.004327671,0.36471164,0.13351582,0.5371963,0.20268856,0.00019519622,5.3304473e-05,0.0003037822,0.0001291081
29,0.01,0.1,0.05,8,1000,2000.0,,,,,,,,,,,,,,,,,,
30,0.01,0.1,0.1,1,1000,20.0,0.449,,0.6884802828288887,0.09843927,0.05035737156867981,0.22890324635615178,0.28385723,0.00843516,0.24942538,0.28867513,0.5,0.0,0.5,0.5,0.2886751,0.0,0.28867513,0.28867513
31,0.01,0.1,0.1,3,1000,200.0,0.5044,,0.6944983347086885,0.10096103,0.017150109633803368,0.22112744923343486,0.0021823763,0.0010894699,0.0008806901,0.01200294,0.49014497,0.024296379,0.51851165,0.45657662,0.0002340024,1.729891e-05,0.00026970514,0.00019756913
32,0.01,0.1,0.1,8,1000,2000.0,0.4944,,0.6948027251674627,0.10117164,0.02928328514099121,0.24438498897661992,5.2874803e-08,2.8570032e-08,2.182185e-08,4.5055205e-07,0.47630322,3.8830887e-08,0.4763033,0.4763031,5.6334746e-09,3.73e-10,6.4326575e-09,4.8280797e-09
