x1,x2,r,a1,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
-7.420161660446425,-34.98076211353316,35.759089992766256,4.5033660375784255,0.5,2.645364136874645e-05,0.0405188660770358,0.5,0.0006264185618773146,0.9594811339229642,0.00032643610162303056
-6.713479597546765,-34.98076211353316,35.61915954020074,4.5227753646103,0.5,2.7608300851066597e-05,0.04082482703257907,0.5,0.0006486542300112097,0.9591751729674208,0.00033813126543113815
-6.006797534647106,-34.98076211353316,35.49275045225207,4.542330358792634,0.5,2.8694275020367513e-05,0.041104169595724084,0.5,0.0006693924471440056,0.958895830404276,0.00034904336108218656
-5.300115471747446,-34.98076211353316,35.38000766050586,4.562017552377555,0.5,2.969851364831875e-05,0.04135570298661281,0.5,0.000688425263813097,0.9586442970133872,0.0003590618887307079
-4.593433408847787,-34.98076211353316,35.28106217966114,4.581822885585062,0.5,3.0608515622479246e-05,0.04157833360839702,0.5,0.0007055565243419327,0.958421666391603,0.000368082519982206
-3.8867513459481273,-34.98076211353316,35.19603037373429,4.601731759210794,0.5,3.1412602277740975e-05,0.041771076499852,0.5,0.0007206054185614461,0.958228923500148,0.00037600901041959353
-3.180069283048468,-34.98076211353316,35.1250132909382,4.621729093183944,0.5,3.210018274227493e-05,0.0419330659238361,0.5,0.0007334098517631715,0.9580669340761638,0.0003827550172527232
-2.4733872201488083,-34.98076211353316,35.06809607584068,4.641799390565816,0.5,3.266200237726136e-05,0.04206356488565375,0.5,0.00074382954003124,0.9579364351143462,0.0003882457712042507
-1.7667051572491488,-34.98076211353316,35.02534746660263,4.661926806367834,0.5,3.309036562000299e-05,0.0421619733903936,0.5,0.0007517487431571605,0.9578380266096065,0.0003924195543885817
-1.0600230943494893,-34.98076211353316,34.99681938411191,4.682095220465914,0.5,3.3379325184862036e-05,0.042227835269330896,0.5,0.0007570785557831607,0.9577721647306691,0.0003952289404840114
-0.35334103144982976,-34.98076211353316,34.98254661867976,4.702288313799368,0.5,3.3524830620142524e-05,0.042260843432019767,0.5,0.0007597586890064859,0.9577391565679803,0.0003966417598133142
0.35334103144982976,-34.98076211353316,34.98254661867976,4.722489646970011,0.5,3.3524830620142524e-05,0.042260843432019767,0.5,0.0007597586890064859,0.9577391565679803,0.0003966417598133142
1.0600230943494893,-34.98076211353316,34.99681938411191,4.742682740303465,0.5,3.3379325184862036e-05,0.042227835269330896,0.5,0.0007570785557831607,0.9577721647306691,0.0003952289404840114
1.7667051572491488,-34.98076211353316,35.02534746660263,4.762851154401545,0.5,3.309036562000299e-05,0.0421619733903936,0.5,0.0007517487431571605,0.9578380266096065,0.0003924195543885817
2.4733872201488083,-34.98076211353316,35.06809607584068,4.782978570203563,0.5,3.266200237726136e-05,0.04206356488565375,0.5,0.00074382954003124,0.9579364351143462,0.0003882457712042507
3.180069283048475,-34.98076211353316,35.1250132909382,4.803048867585435,0.5,3.210018274227493e-05,0.0419330659238361,0.5,0.0007334098517631715,0.9580669340761638,0.0003827550172527232
3.8867513459481344,-34.98076211353316,35.19603037373429,4.8230462015585855,0.5,3.1412602277740975e-05,0.041771076499852,0.5,0.0007206054185614461,0.958228923500148,0.00037600901041959353
4.593433408847794,-34.98076211353316,35.28106217966115,4.842955075184317,0.5,3.06085156224792e-05,0.041578333608397015,0.5,0.0007055565243419317,0.958421666391603,0.00036808251998220545
5.3001154717474535,-34.98076211353316,35.38000766050586,4.862760408391824,0.5,2.969851364831875e-05,0.04135570298661281,0.5,0.000688425263813097,0.9586442970133872,0.0003590618887307079
6.006797534647113,-34.98076211353316,35.49275045225207,4.882447601976746,0.5,2.8694275020367513e-05,0.041104169595724084,0.5,0.0006693924471440056,0.958895830404276,0.00034904336108218656
6.7134795975467725,-34.98076211353316,35.61915954020074,4.902002596159079,0.5,2.7608300851066597e-05,0.04082482703257907,0.5,0.0006486542300112097,0.9591751729674208,0.00033813126543113815
7.420161660446432,-34.98076211353316,35.759089992766256,4.921411923190954,0.5,2.645364136874645e-05,0.0405188660770358,0.5,0.0006264185618773146,0.9594811339229642,0.00032643610162303056
8.126843723346092,-34.98076211353316,35.91238375473406,4.9406627536227425,0.5,2.524362334698769e-05,0.0401875625899377,0.5,0.0006029015469527476,0.9598124374100623,0.00031407258514986767
8.833525786245751,-34.98076211353316,36.07887049035578,4.9597429359565135,0.5,2.3991586495064826e-05,0.03983226497906036,0.5,0.0005783238105248408,0.9601677350209396,0.0003011576985099528
9.54020784914541,-34.98076211353316,36.25836846644499,4.9786410295356145,0.5,2.271063614478217e-05,0.039454381447182114,0.5,0.0005529069584482309,0.960545618552818,0.0002878087972965065
10.24688991204507,-34.98076211353316,36.450685465614605,4.997346330634844,0.5,2.1413418452322716e-05,0.039055367227844244,0.5,0.0005268702099514111,0.9609446327721558,0.0002741418142018669
10.95357197494473,-34.98076211353316,36.65561971995415,5.015848891824511,0.5,2.0111923041461608e-05,0.03863671200109644,0.5,0.0005004272740022948,0.9613632879989036,0.0002602695985218782
11.660254037844389,-34.98076211353316,36.872960855763445,5.034139534781332,0.5,1.8817316625947e-05,0.03819992766437692,0.5,0.00047378352783834657,0.961800072335623,0.0002463004222321468
12.366936100744049,-34.98076211353316,37.10249084042045,5.052209856807556,0.5,1.7539809741015948e-05,0.037746536613526414,0.5,0.0004471335434887101,0.9622534633864736,0.00023233667661486302
13.073618163643708,-34.98076211353316,37.34398492304151,5.070052231395896,0.5,1.628855735696333e-05,0.03727806066668995,0.5,0.0004206589947864366,0.9627219393333101,0.00021847377607169997
13.780300226543368,-34.98076211353316,37.59721256126932,5.087659803240647,0.5,1.5071592900879733e-05,0.036796010740405324,0.5,0.000394526964051648,0.9632039892595947,0.00020479927847626386
14.486982289443027,-34.98076211353316,37.861938327273116,5.105026478144817,0.5,1.3895794122595338e-05,0.03630187736334841,0.5,0.000368888654833342,0.9636981226366516,0.00019139222447796868
15.193664352342687,-34.98076211353316,38.13792278684362,5.122146908309073,0.5,1.2766878339745902e-05,0.035797122089753226,0.5,0.00034387850526779184,0.9642028779102467,0.00017832269180376888
15.900346415242346,-34.98076211353316,38.42492334629058,5.139016473511566,0.5,1.1689423902686115e-05,0.035283169852094794,0.5,0.00031961368609813214,0.9647168301479052,0.00016565155500040913
