,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
67,0.0001,0.01,3,0.1,5000,200.0,0.7296,0.5365448012038755,0.003367932,0.02767813205718994,0.02172123476244633,0.049057875,0.006430085,0.007635736,0.06612343,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:13:59.284242,6795207.111359486
68,0.0001,0.01,3,0.2,5000,200.0,0.7308,0.5403702496850178,0.006367024,0.04258781671524048,0.03933387045540039,0.08499452,0.008115075,0.02397003,0.11207266,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:15:38.749650,6796146.009146983
69,0.0001,0.01,8,0.5,5000,2000.0,0.7314,0.5563434233545124,0.015738286,0.07550076395273209,0.07915197170056526,0.1698205,0.0090734875,0.13793615,0.20350759,0.9999995,1.6090687e-06,1.0,0.9999903,1.2641572e-06,3.7292205e-06,2.2279195e-05,0.0,0 days 00:09:24.531960,6796710.680921261
70,0.0001,0.01,8,0.1,5000,2000.0,0.7296,0.5355662002549889,0.00433547,0.028049087151885033,0.028217153348551436,0.051434528,0.009982172,0.018590342,0.10769753,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:11:29.703296,6797400.522071026
71,0.0001,0.01,8,0.2,5000,2000.0,0.7296,0.5396852789845756,0.006095291,0.040497541427612305,0.04029304790325587,0.0908231,0.00882884,0.04267886,0.14282478,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:37.505057,6797978.1684297
72,0.0001,0.001,1,0.5,5000,20.0,0.7316,0.6078855914194804,0.04790448,0.14442886412143707,0.14629239028968039,0.16936292,0.0120727625,0.10371211,0.19578871,0.9999981,5.2848427e-06,1.0,0.9999708,8.344117e-06,2.309411e-05,0.00012690033,0.0,0 days 00:32:11.780233,6799910.091233784
73,0.0001,0.001,1,0.1,5000,20.0,0.7328,0.5867512642054543,0.03823799,0.1130448505282402,0.11074243771709624,0.074414566,0.025841177,0.014117068,0.11249236,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:33:24.714631,6801914.938126352
74,0.0001,0.001,1,0.2,5000,20.0,0.7322,0.5976257944291751,0.043727353,0.1302223652601242,0.12839167329944792,0.102798924,0.019283798,0.024495892,0.13109654,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:34:45.050373,6804000.13234923
75,0.0001,0.001,3,0.5,5000,200.0,0.7302,0.557431491774388,0.016839474,0.07740044593811035,0.07965400464512531,0.1718363,0.010311795,0.08291676,0.20896435,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:13:05.649533,6804785.925114877
76,0.0001,0.001,3,0.1,5000,200.0,0.7312,0.5366289481938739,0.0033999642,0.028770888224244118,0.022186363103763505,0.04605771,0.005961795,0.009189661,0.06796024,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:13:52.777974,6805618.844759176
77,0.0001,0.001,3,0.2,5000,200.0,0.7298,0.5404524714229845,0.0061819376,0.04478659853339195,0.039784525713102266,0.086152986,0.007984029,0.026757456,0.11459242,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:15:26.851296,6806545.838469424
78,0.0001,0.001,8,0.5,5000,2000.0,0.7306,0.5574000833631004,0.016200157,0.07824321836233139,0.08165901531852905,0.16909352,0.008407791,0.14182812,0.20160156,0.9999977,6.536939e-06,1.0,0.9999633,7.889811e-06,2.1437481e-05,0.00011707442,0.0,0 days 00:10:27.021435,6807173.002521768
79,0.0001,0.001,8,0.1,5000,2000.0,0.7294,0.535716853889822,0.0035172494,0.032006263732910156,0.027085715669916313,0.059451997,0.008278963,0.027144823,0.10249555,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:03.610817,6807716.755557715
80,0.0001,0.001,8,0.2,5000,2000.0,0.73,0.5395091889328835,0.006171348,0.04311492294073105,0.0415363449288172,0.08330081,0.008925761,0.04514726,0.12932295,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:52.528507,6808309.427043398
